"x","u"
0.01,100.070945
0.02,100.582436
0.03,101.088684
0.04,101.58972
0.05,102.085576
0.06,102.576283
0.07,103.061871
0.08,103.54237
0.09,104.017811
0.1,104.488224
0.11,104.95364
0.12,105.414086
0.13,105.869594
0.14,106.320193
0.15,106.765912
0.16,107.206781
0.17,107.642827
0.18,108.074081
0.19,108.500572
0.2,108.922326
0.21,109.339375
0.22,109.751744
0.23,110.159464
0.24,110.562562
0.25,110.961067
0.26,111.355005
0.27,111.744406
0.28,112.129296
0.29,112.509704
0.3,112.885657
0.31,113.257182
0.32,113.624307
0.33,113.98706
0.34,114.345466
0.35,114.699554
0.36,115.049351
0.37,115.394882
0.38,115.736176
0.39,116.073258
0.4,116.406156
0.41,116.734895
0.42,117.059503
0.43,117.380006
0.44,117.69643
0.45,118.008801
0.46,118.317146
0.47,118.62149
0.48,118.921859
0.49,119.21828
0.5,119.510778
0.51,119.799379
0.52,120.084109
0.53,120.364992
0.54,120.642055
0.55,120.915324
0.56,121.184823
0.57,121.450577
0.58,121.712613
0.59,121.970955
0.6,122.225627
0.61,122.476656
0.62,122.724066
0.63,122.967882
0.64,123.208128
0.65,123.44483
0.66,123.678011
0.67,123.907697
0.68,124.133911
0.69,124.356679
0.7,124.576025
0.71,124.791972
0.72,125.004545
0.73,125.213768
0.74,125.419665
0.75,125.62226
0.76,125.821577
0.77,126.017639
0.78,126.210471
0.79,126.400095
0.8,126.586536
0.81,126.769817
0.82,126.949961
0.83,127.126992
0.84,127.300932
0.85,127.471806
0.86,127.639635
0.87,127.804444
0.88,127.966255
0.89,128.125091
0.9,128.280975
0.91,128.433929
0.92,128.583976
0.93,128.731139
0.94,128.875439
0.95,129.016901
0.96,129.155545
0.97,129.291394
0.98,129.42447
0.99,129.554795
1,129.682391
1.01,129.807281
1.02,129.929486
1.03,130.049027
1.04,130.165926
1.05,130.280206
1.06,130.391887
1.07,130.500991
1.08,130.607539
1.09,130.711552
1.1,130.813052
1.11,130.91206
1.12,131.008597
1.13,131.102683
1.14,131.19434
1.15,131.283588
1.16,131.370448
1.17,131.45494
1.18,131.537086
1.19,131.616905
1.2,131.694418
1.21,131.769645
1.22,131.842606
1.23,131.913321
1.24,131.981811
1.25,132.048095
1.26,132.112193
1.27,132.174125
1.28,132.23391
1.29,132.291568
1.3,132.347119
1.31,132.400582
1.32,132.451975
1.33,132.501319
1.34,132.548633
1.35,132.593935
1.36,132.637245
1.37,132.678581
1.38,132.717963
1.39,132.755408
1.4,132.790935
1.41,132.824564
1.42,132.856312
1.43,132.886198
1.44,132.914239
1.45,132.940455
1.46,132.964863
1.47,132.987481
1.48,133.008328
1.49,133.02742
1.5,133.044776
1.51,133.060413
1.52,133.074348
1.53,133.0866
1.54,133.097186
1.55,133.106122
1.56,133.113426
1.57,133.119115
1.58,133.123207
1.59,133.125717
1.6,133.126663
1.61,133.126062
1.62,133.123929
1.63,133.120283
1.64,133.115138
1.65,133.108512
1.66,133.10042
1.67,133.09088
1.68,133.079906
1.69,133.067516
1.7,133.053724
1.71,133.038547
1.72,133.022001
1.73,133.0041
1.74,132.984862
1.75,132.9643
1.76,132.942431
1.77,132.919269
1.78,132.89483
1.79,132.86913
1.8,132.842182
1.81,132.814002
1.82,132.784605
1.83,132.754006
1.84,132.722218
1.85,132.689257
1.86,132.655137
1.87,132.619873
1.88,132.583478
1.89,132.545967
1.9,132.507355
1.91,132.467654
1.92,132.426879
1.93,132.385045
1.94,132.342163
1.95,132.298249
1.96,132.253316
1.97,132.207377
1.98,132.160445
1.99,132.112535
2,132.063658
2.01,132.013829
2.02,131.96306
2.03,131.911364
2.04,131.858754
2.05,131.805244
2.06,131.750844
2.07,131.695569
2.08,131.639431
2.09,131.582441
2.1,131.524613
2.11,131.465958
2.12,131.406489
2.13,131.346219
2.14,131.285157
2.15,131.223318
2.16,131.160712
2.17,131.097351
2.18,131.033248
2.19,130.968412
2.2,130.902857
2.21,130.836593
2.22,130.769631
2.23,130.701983
2.24,130.63366
2.25,130.564673
2.26,130.495034
2.27,130.424751
2.28,130.353838
2.29,130.282304
2.3,130.210159
2.31,130.137416
2.32,130.064083
2.33,129.990171
2.34,129.915691
2.35,129.840653
2.36,129.765067
2.37,129.688943
2.38,129.612291
2.39,129.53512
2.4,129.457442
2.41,129.379264
2.42,129.300598
2.43,129.221453
2.44,129.141837
2.45,129.061761
2.46,128.981234
2.47,128.900265
2.48,128.818864
2.49,128.737038
2.5,128.654798
