"x","y","u"
0.1,0.2,108.946647
0.1,0.3,112.955845
0.1,0.4,116.541223
0.1,0.5,119.727385
0.1,0.6,122.538257
0.1,0.7,124.997127
0.1,0.8,127.126672
0.1,0.9,128.948953
0.1,1,130.485395
0.1,1.1,131.756766
0.1,1.2,132.78315
0.1,1.3,133.583923
0.1,1.4,134.177719
0.1,1.5,134.582416
0.1,1.6,134.815111
0.1,1.7,134.892102
0.1,1.8,134.828884
0.1,1.9,134.640135
0.1,2,134.339715
0.1,2.1,133.94067
0.1,2.2,133.455236
0.1,2.3,132.89485
0.1,2.4,132.270163
0.1,2.5,131.591057
0.1,2.6,130.866666
0.1,2.7,130.105398
0.1,2.8,129.314962
0.1,2.9,128.502393
0.1,3,127.674081
0.1,3.1,126.835805
0.1,3.2,125.992757
0.1,3.3,125.149583
0.1,3.4,124.310406
0.1,3.5,123.478864
0.1,3.6,122.658142
0.1,3.7,121.851
0.1,3.8,121.05981
0.1,3.9,120.286579
0.1,4,119.532985
0.1,4.1,118.800401
0.1,4.2,118.089927
0.1,4.3,117.40241
0.1,4.4,116.738471
0.1,4.5,116.098533
0.1,4.6,115.482835
0.1,4.7,114.891457
0.1,4.8,114.324339
0.1,4.9,113.781299
0.1,5,113.262046
0.1,5.1,112.766199
0.1,5.2,112.293298
0.1,5.3,111.84282
0.1,5.4,111.414186
0.1,5.5,111.006774
0.1,5.6,110.619928
0.1,5.7,110.252965
0.1,5.8,109.905184
0.1,5.9,109.575872
0.1,6,109.264308
0.1,6.1,108.969772
0.1,6.2,108.691545
0.1,6.3,108.428916
0.1,6.4,108.181181
0.1,6.5,107.947654
0.1,6.6,107.727657
0.1,6.7,107.520536
0.1,6.8,107.325649
0.1,6.9,107.142377
0.1,7,106.970121
0.1,7.1,106.808302
0.1,7.2,106.656363
0.1,7.3,106.513769
0.1,7.4,106.380007
0.1,7.5,106.254585
0.1,7.6,106.137033
0.1,7.7,106.026901
0.1,7.8,105.923763
0.1,7.9,105.827211
0.1,8,105.736857
0.1,8.1,105.652333
0.1,8.2,105.573291
0.1,8.3,105.499397
0.1,8.4,105.43034
0.1,8.5,105.365823
0.1,8.6,105.305563
0.1,8.7,105.249298
0.1,8.8,105.196776
0.1,8.9,105.147761
0.1,9,105.102032
0.1,9.1,105.059378
0.1,9.2,105.019602
0.1,9.3,104.982518
0.1,9.4,104.947953
0.1,9.5,104.915742
0.1,9.6,104.885731
0.1,9.7,104.857776
0.1,9.8,104.831741
0.1,9.9,104.807498
0.1,10,104.784929
0.2,0.3,112.953521
0.2,0.4,116.580325
0.2,0.5,119.825084
0.2,0.6,122.709614
0.2,0.7,125.25524
0.2,0.8,127.482805
0.2,0.9,129.412662
0.2,1,131.064646
