"x","u"
0.01,100.124355
0.02,100.629924
0.03,101.132077
0.04,101.630194
0.05,102.1213
0.06,102.607561
0.07,103.088531
0.08,103.565656
0.09,104.0378
0.1,104.503942
0.11,104.965578
0.12,105.422693
0.13,105.874262
0.14,106.32247
0.15,106.765011
0.16,107.202059
0.17,107.636264
0.18,108.063718
0.19,108.487068
0.2,108.906705
0.21,109.320739
0.22,109.730092
0.23,110.135271
0.24,110.535446
0.25,110.931859
0.26,111.323046
0.27,111.710215
0.28,112.091629
0.29,112.469159
0.3,112.844301
0.31,113.21298
0.32,113.577564
0.33,113.93881
0.34,114.2951
0.35,114.64766
0.36,114.994321
0.37,115.337413
0.38,115.678019
0.39,116.012297
0.4,116.34245
0.41,116.669914
0.42,116.993336
0.43,117.311252
0.44,117.626984
0.45,117.936346
0.46,118.243809
0.47,118.54588
0.48,118.845287
0.49,119.139509
0.5,119.429854
0.51,119.716524
0.52,120.001334
0.53,120.279634
0.54,120.555346
0.55,120.82703
0.56,121.094662
0.57,121.357894
0.58,121.619536
0.59,121.87657
0.6,122.129535
0.61,122.378874
0.62,122.625244
0.63,122.866634
0.64,123.106847
0.65,123.34181
0.66,123.573213
0.67,123.801966
0.68,124.026071
0.69,124.246413
0.7,124.465602
0.71,124.679458
0.72,124.890902
0.73,125.099092
0.74,125.30356
0.75,125.505134
0.76,125.702902
0.77,125.898445
0.78,126.089949
0.79,126.277888
0.8,126.46333
0.81,126.645052
0.82,126.824552
0.83,127.001563
0.84,127.173411
0.85,127.343206
0.86,127.508808
0.87,127.672889
0.88,127.834065
0.89,127.991516
0.9,128.147378
0.91,128.2986
0.92,128.448285
0.93,128.593208
0.94,128.73633
0.95,128.877659
0.96,129.014519
0.97,129.149241
0.98,129.28104
0.99,129.411092
1,129.537008
1.01,129.661236
1.02,129.782171
1.03,129.901083
1.04,130.01703
1.05,130.130643
1.06,130.24018
1.07,130.34918
1.08,130.454472
1.09,130.55747
1.1,130.658922
1.11,130.757297
1.12,130.851048
1.13,130.945344
1.14,131.035871
1.15,131.125465
1.16,131.211335
1.17,131.294156
1.18,131.375827
1.19,131.45518
1.2,131.532287
1.21,131.607525
1.22,131.679034
1.23,131.748904
1.24,131.81575
1.25,131.882008
1.26,131.945413
1.27,132.006073
1.28,132.065369
1.29,132.122435
1.3,132.176945
1.31,132.23058
1.32,132.279971
1.33,132.329743
1.34,132.376751
1.35,132.421133
1.36,132.464095
1.37,132.504939
1.38,132.543156
1.39,132.580387
1.4,132.614004
1.41,132.64825
1.42,132.678279
1.43,132.708955
1.44,132.736521
1.45,132.762388
1.46,132.786393
1.47,132.806709
1.48,132.827725
1.49,132.84705
1.5,132.862795
1.51,132.878052
1.52,132.893021
1.53,132.904014
1.54,132.914112
1.55,132.922321
1.56,132.930399
1.57,132.935797
1.58,132.938052
1.59,132.940794
1.6,132.942324
1.61,132.93996
1.62,132.937579
1.63,132.934016
1.64,132.927413
1.65,132.921406
1.66,132.914218
1.67,132.903367
1.68,132.891479
1.69,132.878884
1.7,132.864467
1.71,132.849488
1.72,132.832478
1.73,132.815255
1.74,132.795294
1.75,132.774692
1.76,132.75218
1.77,132.72898
1.78,132.70364
1.79,132.67846
1.8,132.650812
1.81,132.622677
1.82,132.59377
1.83,132.562007
1.84,132.530929
1.85,132.497255
1.86,132.462741
1.87,132.428405
1.88,132.391276
1.89,132.353546
1.9,132.315147
1.91,132.27541
1.92,132.234458
1.93,132.193343
1.94,132.149005
1.95,132.105645
1.96,132.060787
1.97,132.013516
1.98,131.967843
1.99,131.919891
2,131.870047
2.01,131.821192
2.02,131.769994
2.03,131.717044
2.04,131.664644
2.05,131.611487
2.06,131.557306
2.07,131.502834
2.08,131.44626
2.09,131.388821
2.1,131.332298
2.11,131.271904
2.12,131.21374
2.13,131.153875
2.14,131.091802
2.15,131.030026
2.16,130.96754
2.17,130.903606
2.18,130.840793
2.19,130.777048
2.2,130.711119
2.21,130.644869
2.22,130.577362
2.23,130.509458
2.24,130.442389
2.25,130.372
2.26,130.303779
2.27,130.233308
2.28,130.162271
2.29,130.090208
2.3,130.019804
2.31,129.947049
2.32,129.872876
2.33,129.799202
2.34,129.726353
2.35,129.65105
2.36,129.57704
2.37,129.498838
2.38,129.422835
2.39,129.34623
