"x","y","u"
0,0.1,127.885489162144
0,0.2,127.894772591152
0,0.3,127.936328483159
0,0.4,128.009710851983
0,0.5,128.113761833904
0,0.6,128.246592492479
0,0.7,128.405583389853
0,0.8,128.587406247784
0,0.9,128.788067374713
0,1,129.002972822701
0,1.1,129.227014482942
0,1.2,129.454675556043
0,1.3,129.680153070428
0,1.4,129.897494396513
0,1.5,130.100744043359
0,1.6,130.284096454837
0,1.7,130.442050068972
0,1.8,130.569557589784
0,1.9,130.662167265262
0,2,130.71614998455
0,2.1,130.728607213583
0,2.2,130.697555188676
0,2.3,130.621981382864
0,2.4,130.501870045085
0,2.5,130.338194574818
0,2.6,130.132875614071
0,2.7,129.88870498534
0,2.8,129.609236940592
0,2.9,129.298649565925
0,3,128.961580555275
0,3.1,128.602942863861
0,3.2,128.227726913323
0,3.3,127.840796979674
0,3.4,127.446690088234
0,3.5,127.049426108574
0,3.6,126.652337739331
0,3.7,126.257928664029
0,3.8,125.867767329392
0,3.9,125.482422553307
0,4,125.101445540055
0,4.1,124.72340091992
0,4.2,124.345947216423
0,4.3,123.965964776207
0,4.4,123.579726790105
0,4.5,123.183106716598
0,4.6,122.771813322413
0,4.7,122.341642807718
0,4.8,121.88873620115
0,4.9,121.409829488996
0,5,120.902483851196
0,5.1,120.365283949548
0,5.2,119.797993447132
0,5.3,119.201658790318
0,5.4,118.57865467437
0,5.5,117.932667424264
0,5.6,117.268615608432
0,5.7,116.592510397932
0,5.8,115.91126130993
0,5.9,115.232435854127
0,6,114.563984067873
0,6.1,113.913940835177
0,6.2,113.290120123329
0,6.3,112.699815763844
0,6.4,112.149523120875
0,6.5,111.64469494516
0,6.6,111.189542964722
0,6.7,110.78689441561
0,6.8,110.438109902535
0,6.9,110.143065860795
0,7,109.900201644257
0,7.1,109.706628069743
0,7.2,109.558291279981
0,7.3,109.450183201842
0,7.4,109.376587804495
0,7.5,109.331350899972
0,7.6,109.308160436104
0,7.7,109.300824127366
0,7.8,109.303531832753
0,7.9,109.311091264126
0,8,109.319127305227
