"","x","y","u"
"1",0.1,0.2,111.553392
"2",0.1,0.3,114.428526
"3",0.1,0.4,117.020285
"4",0.1,0.5,119.377895
"5",0.1,0.6,121.538487
"6",0.1,0.7,123.526533
"7",0.1,0.8,125.354387
"8",0.1,0.9,127.023851
"9",0.1,1,128.528576
"10",0.1,1.1,129.857008
"11",0.1,1.2,130.995531
"12",0.1,1.3,131.93146
"13",0.1,1.4,132.655565
"14",0.1,1.5,133.163891
"15",0.1,1.6,133.458752
"16",0.1,1.7,133.548868
"17",0.1,1.8,133.448759
"18",0.1,1.9,133.177552
"19",0.1,2,132.757469
"20",0.1,2.1,132.212213
"21",0.1,2.2,131.565516
"22",0.1,2.3,130.840006
"23",0.1,2.4,130.056523
"24",0.1,2.5,129.233901
"25",0.1,2.6,128.389177
"26",0.1,2.7,127.538123
"27",0.1,2.8,126.695947
"28",0.1,2.9,125.87801
"29",0.1,3,125.100396
"30",0.1,3.1,124.380236
"31",0.1,3.2,123.735698
"32",0.1,3.3,123.18564
"33",0.1,3.4,122.748965
"34",0.1,3.5,122.443765
"35",0.1,3.6,122.286368
"36",0.1,3.7,122.290435
"37",0.1,3.8,122.466213
"38",0.1,3.9,122.820077
"39",0.1,4,123.354403
"40",0.2,0.3,117.407715
"41",0.2,0.4,119.761011
"42",0.2,0.5,121.885149
"43",0.2,0.6,123.825158
"44",0.2,0.7,125.61315
"45",0.2,0.8,127.268428
"46",0.2,0.9,128.798648
"47",0.2,1,130.201884
"48",0.2,1.1,131.46932
"49",0.2,1.2,132.588247
"50",0.2,1.3,133.545031
"51",0.2,1.4,134.327745
"52",0.2,1.5,134.928204
"53",0.2,1.6,135.343277
"54",0.2,1.7,135.575421
"55",0.2,1.8,135.632501
"56",0.2,1.9,135.527038
"57",0.2,2,135.275089
"58",0.2,2.1,134.894968
"59",0.2,2.2,134.406024
"60",0.2,2.3,133.827636
"61",0.2,2.4,133.178545
"62",0.2,2.5,132.476542
"63",0.2,2.6,131.738506
"64",0.2,2.7,130.980709
"65",0.2,2.8,130.219253
"66",0.2,2.9,129.470543
"67",0.2,3,128.751643
"68",0.2,3.1,128.080429
"69",0.2,3.2,127.47549
"70",0.2,3.3,126.955749
"71",0.2,3.4,126.539856
"72",0.2,3.5,126.245419
"73",0.2,3.6,126.088173
"74",0.2,3.7,126.081211
"75",0.2,3.8,126.234376
"76",0.2,3.9,126.553904
"77",0.2,4,127.042385
"78",0.3,0.4,122.025713
"79",0.3,0.5,123.903967
"80",0.3,0.6,125.610247
"81",0.3,0.7,127.184864
"82",0.3,0.8,128.654649
"83",0.3,0.9,130.033671
"84",0.3,1,131.324911
"85",0.3,1.1,132.52266
"86",0.3,1.2,133.615345
"87",0.3,1.3,134.58846
"88",0.3,1.4,135.427298
"89",0.3,1.5,136.119224
"90",0.3,1.6,136.655339
"91",0.3,1.7,137.031448
"92",0.3,1.8,137.248355
"93",0.3,1.9,137.311595
"94",0.3,2,137.230751
"95",0.3,2.1,137.018534
"96",0.3,2.2,136.689816
"97",0.3,2.3,136.260757
"98",0.3,2.4,135.748134
"99",0.3,2.5,135.168922
"100",0.3,2.6,134.54013
"101",0.3,2.7,133.878828
"102",0.3,2.8,133.202308
"103",0.3,2.9,132.528256
"104",0.3,3,131.874869
"105",0.3,3.1,131.260826
"106",0.3,3.2,130.705077
"107",0.3,3.3,130.226441
"108",0.3,3.4,129.843043
"109",0.3,3.5,129.571652
"110",0.3,3.6,129.426999
"111",0.3,3.7,129.421175
"112",0.3,3.8,129.563183
"113",0.3,3.9,129.858725
"114",0.3,4,130.310273
"115",0.4,0.5,125.534871
"116",0.4,0.6,127.001436
"117",0.4,0.7,128.355447
"118",0.4,0.8,129.631557
"119",0.4,0.9,130.85056
"120",0.4,1,132.02065
"121",0.4,1.1,133.139497
"122",0.4,1.2,134.196885
"123",0.4,1.3,135.17759
"124",0.4,1.4,136.064209
"125",0.4,1.5,136.839687
"126",0.4,1.6,137.489337
"127",0.4,1.7,138.002263
"128",0.4,1.8,138.372156
"129",0.4,1.9,138.597526
"130",0.4,2,138.68147
"131",0.4,2.1,138.63113
"132",0.4,2.2,138.456979
"133",0.4,2.3,138.172078
"134",0.4,2.4,137.791404
"135",0.4,2.5,137.331304
"136",0.4,2.6,136.809108
"137",0.4,2.7,136.242884
"138",0.4,2.8,135.651273
"139",0.4,2.9,135.053372
"140",0.4,3,134.468589
"141",0.4,3.1,133.916413
"142",0.4,3.2,133.416098
"143",0.4,3.3,132.986229
"144",0.4,3.4,132.644209
"145",0.4,3.5,132.40571
"146",0.4,3.6,132.284157
"147",0.4,3.7,132.290301
"148",0.4,3.8,132.431958
"149",0.4,3.9,132.713959
"150",0.4,4,133.138341
"151",0.5,0.6,128.107601
"152",0.5,0.7,129.240072
"153",0.5,0.8,130.319176
"154",0.5,0.9,131.372501
"155",0.5,1,132.413582
"156",0.5,1.1,133.443659
"157",0.5,1.2,134.4541
"158",0.5,1.3,135.42923
"159",0.5,1.4,136.349251
"160",0.5,1.5,137.193
"161",0.5,1.6,137.940332
"162",0.5,1.7,138.573988
"163",0.5,1.8,139.080879
"164",0.5,1.9,139.452809
"165",0.5,2,139.686691
"166",0.5,2.1,139.784364
"167",0.5,2.2,139.752129
"168",0.5,2.3,139.600129
"169",0.5,2.4,139.341668
"170",0.5,2.5,138.992548
"171",0.5,2.6,138.570466
"172",0.5,2.7,138.094485
"173",0.5,2.8,137.584579
"174",0.5,2.9,137.061218
"175",0.5,3,136.544961
"176",0.5,3.1,136.056052
"177",0.5,3.2,135.613977
"178",0.5,3.3,135.237002
"179",0.5,3.4,134.941709
"180",0.5,3.5,134.742551
"181",0.5,3.6,134.651497
"182",0.5,3.7,134.67778
"183",0.5,3.8,134.827827
"184",0.5,3.9,135.105375
"185",0.5,4,135.511791
"186",0.6,0.7,129.948205
"187",0.6,0.8,130.831769
"188",0.6,0.9,131.716902
"189",0.6,1,132.622454
"190",0.6,1.1,133.553345
"191",0.6,1.2,134.502796
"192",0.6,1.3,135.455079
"193",0.6,1.4,136.388524
"194",0.6,1.5,137.278486
"195",0.6,1.6,138.100059
"196",0.6,1.7,138.830349
"197",0.6,1.8,139.450216
"198",0.6,1.9,139.945438
"199",0.6,2,140.307339
"200",0.6,2.1,140.532935
"201",0.6,2.2,140.624697
"202",0.6,2.3,140.590047
"203",0.6,2.4,140.440668
"204",0.6,2.5,140.191743
"205",0.6,2.6,139.861161
"206",0.6,2.7,139.468748
"207",0.6,2.8,139.035546
"208",0.6,2.9,138.583138
"209",0.6,3,138.133023
"210",0.6,3.1,137.706032
"211",0.6,3.2,137.321783
"212",0.6,3.3,136.998187
"213",0.6,3.4,136.751009
"214",0.6,3.5,136.593524
"215",0.6,3.6,136.536281
"216",0.6,3.7,136.587026
"217",0.6,3.8,136.750788
"218",0.6,3.9,137.030155
"219",0.6,4,137.425721
"220",0.7,0.8,131.270715
"221",0.7,0.9,131.988282
"222",0.7,1,132.753311
"223",0.7,1.1,133.574463
"224",0.7,1.2,134.447108
"225",0.7,1.3,135.356003
