"x","y","u","type"
0,0.1,127.885489162144,"GP"
0,0.2,127.894772591152,"GP"
0,0.3,127.936328483159,"GP"
0,0.4,128.009710851983,"GP"
0,0.5,128.113761833904,"GP"
0,0.6,128.246592492479,"GP"
0,0.7,128.405583389853,"GP"
0,0.8,128.587406247784,"GP"
0,0.9,128.788067374713,"GP"
0,1,129.002972822701,"GP"
0,1.1,129.227014482942,"GP"
0,1.2,129.454675556043,"GP"
0,1.3,129.680153070428,"GP"
0,1.4,129.897494396513,"GP"
0,1.5,130.100744043359,"GP"
0,1.6,130.284096454837,"GP"
0,1.7,130.442050068972,"GP"
0,1.8,130.569557589784,"GP"
0,1.9,130.662167265262,"GP"
0,2,130.71614998455,"GP"
0,2.1,130.728607213583,"GP"
0,2.2,130.697555188676,"GP"
0,2.3,130.621981382864,"GP"
0,2.4,130.501870045085,"GP"
0,2.5,130.338194574818,"GP"
0,2.6,130.132875614071,"GP"
0,2.7,129.88870498534,"GP"
0,2.8,129.609236940592,"GP"
0,2.9,129.298649565925,"GP"
0,3,128.961580555275,"GP"
0,3.1,128.602942863861,"GP"
0,3.2,128.227726913323,"GP"
0,3.3,127.840796979674,"GP"
0,3.4,127.446690088234,"GP"
0,3.5,127.049426108574,"GP"
0,3.6,126.652337739331,"GP"
0,3.7,126.257928664029,"GP"
0,3.8,125.867767329392,"GP"
0,3.9,125.482422553307,"GP"
0,4,125.101445540055,"GP"
0,4.1,124.72340091992,"GP"
0,4.2,124.345947216423,"GP"
0,4.3,123.965964776207,"GP"
0,4.4,123.579726790105,"GP"
0,4.5,123.183106716598,"GP"
0,4.6,122.771813322413,"GP"
0,4.7,122.341642807718,"GP"
0,4.8,121.88873620115,"GP"
0,4.9,121.409829488996,"GP"
0,5,120.902483851196,"GP"
0,5.1,120.365283949548,"GP"
0,5.2,119.797993447132,"GP"
0,5.3,119.201658790318,"GP"
0,5.4,118.57865467437,"GP"
0,5.5,117.932667424264,"GP"
0,5.6,117.268615608432,"GP"
0,5.7,116.592510397932,"GP"
0,5.8,115.91126130993,"GP"
0,5.9,115.232435854127,"GP"
0,6,114.563984067873,"GP"
0,6.1,113.913940835177,"GP"
0,6.2,113.290120123329,"GP"
0,6.3,112.699815763844,"GP"
0,6.4,112.149523120875,"GP"
0,6.5,111.64469494516,"GP"
0,6.6,111.189542964722,"GP"
0,6.7,110.78689441561,"GP"
0,6.8,110.438109902535,"GP"
0,6.9,110.143065860795,"GP"
0,7,109.900201644257,"GP"
0,7.1,109.706628069743,"GP"
0,7.2,109.558291279981,"GP"
0,7.3,109.450183201842,"GP"
0,7.4,109.376587804495,"GP"
0,7.5,109.331350899972,"GP"
0,7.6,109.308160436104,"GP"
0,7.7,109.300824127366,"GP"
0,7.8,109.303531832753,"GP"
0,7.9,109.311091264126,"GP"
0,8,109.319127305227,"GP"
0,8.1,109.324237327723,"GP"
0,8.2,109.324097276304,"GP"
0,8.3,109.317515822308,"GP"
0,8.4,109.304436416746,"GP"
0,8.5,109.285889479197,"GP"
0,8.6,109.263899124471,"GP"
0,8.7,109.241350659471,"GP"
0,8.8,109.221826508517,"GP"
0,8.9,109.209419202281,"GP"
0,9,109.208530576667,"GP"
0,9.1,109.223666381035,"GP"
0,9.2,109.259235121887,"GP"
0,9.3,109.319359218384,"GP"
0,9.4,109.407705485174,"GP"
0,9.5,109.527340661508,"GP"
0,9.6,109.680616253505,"GP"
0,9.7,109.86908542994,"GP"
0,9.8,110.093453188116,"GP"
